,date,CPI,interest,oil_price,gold_price,exchange_rate(w/d),KOSPI200(open),sent
198,2020-10-21,100.36,0.65,916,70030,"1,139.70",315.34,0.16403558772320687
199,2020-10-22,100.34,0.64,916,70230,"1,133.70",313.62,-0.06080013394143359
200,2020-10-23,100.32,0.64,915,69950,"1,134.10",314.98,0.3721840716380816
201,2020-10-26,100.27,0.64,916,69500,"1,134.60",315.63,0.18899524245749225
202,2020-10-27,100.25,0.64,910,69230,"1,129.10",311.5,0.04385008014107063
203,2020-10-28,100.23,0.64,914,69400,"1,127.60",310.66,0.19833024512529776
204,2020-10-29,100.22,0.64,914,69020,"1,129.30",308.99,0.14526658277649535
205,2020-10-30,100.2,0.64,910,68650,"1,133.40",308.91,0.08425523230094586
206,2020-11-02,100.17,0.64,915,68470,"1,130.40",302.67,0.11495461169191845
207,2020-11-03,100.17,0.64,895,69210,"1,134.70",308.14,0.3295482164694756
208,2020-11-04,100.17,0.64,892,69800,"1,134.60",314.31,0.12155986799344937
209,2020-11-05,100.16,0.64,891,69620,"1,136.50",315.74,0.17804030795667777
210,2020-11-06,100.16,0.64,886,70780,"1,130.90",322.72,0.28379448813105573
211,2020-11-09,100.15,0.64,902,70500,"1,124.40",325.25,0.2241028057082994
212,2020-11-10,100.15,0.64,901,67460,"1,115.60",326.33,0.1957143035698693
213,2020-11-11,100.15,0.64,895,67980,"1,115.90",327.04,0.2665524337893915
214,2020-11-12,100.14,0.64,894,67120,"1,112.40",330.57,-0.021409455518993283
215,2020-11-13,100.14,0.64,891,67490,"1,113.20",329.09,0.180185297306855
216,2020-11-16,100.13,0.64,894,67120,"1,115.10",335.2,0.4055145601798841
217,2020-11-17,100.13,0.64,911,67650,"1,108.00",340.84,0.11355912523435778
218,2020-11-18,100.13,0.64,914,67290,"1,106.80",341.07,0.14592222820685866
219,2020-11-19,100.12,0.64,913,66830,"1,105.90",338.56,0.17814592771971963
220,2020-11-20,100.12,0.65,911,66990,"1,112.20",339.48,-0.031262452115462365
221,2020-11-23,100.11,0.66,912,67210,"1,114.20",341.51,0.10638573344706816
222,2020-11-24,100.11,0.67,914,66480,"1,112.60",350.3,0.31696343462231785
223,2020-11-25,100.1,0.67,922,64600,"1,111.20",353.05,0.07700833029797488
224,2020-11-26,100.1,0.67,916,64700,"1,107.20",348.66,0.23440765859545487
225,2020-11-27,100.1,0.68,915,64530,"1,105.80",351.83,0.29811715432560837
226,2020-11-30,100.09,0.69,914,64090,"1,104.40",354.7,0.46717213095206594
227,2020-12-01,100.1,0.7,939,63170,"1,104.90",349.37,0.22137249352407187
228,2020-12-02,100.11,0.71,947,64780,"1,107.10",354.33,0.1923972791172949
229,2020-12-03,100.11,0.71,950,64720,"1,103.30",360.36,0.28259685018323627
230,2020-12-04,100.12,0.72,944,64940,"1,098.10",363.28,0.15230403938112114
231,2020-12-07,100.14,0.72,943,64320,"1,086.60",368.59,0.08598469030740725
232,2020-12-08,100.15,0.72,951,65020,"1,082.70",369.73,0.384910793846763
233,2020-12-09,100.16,0.72,955,65670,"1,084.40",363.77,0.30643603695701555
234,2020-12-10,100.17,0.73,951,64420,"1,083.60",370.74,0.2009251986488479
235,2020-12-11,100.18,0.73,947,64610,"1,086.20",370.45,0.2285729296753693
236,2020-12-14,100.2,0.74,956,65000,"1,089.30",372.14,0.18570400991908262
237,2020-12-15,100.21,0.74,954,64700,"1,090.80",371.75,0.3057658314091733
238,2020-12-16,100.21,0.74,950,65230,"1,093.20",371.86,0.31836241315961344
239,2020-12-17,100.22,0.75,951,65980,"1,092.20",372.12,0.051240989230676166
240,2020-12-18,100.23,0.75,951,66360,"1,092.80",372.02,0.3032151974912101
241,2020-12-21,100.25,0.76,952,67500,"1,097.90",371.51,0.2479931024575511
242,2020-12-22,100.26,0.76,968,68380,"1,101.20",371.08,0.30799064101303214
243,2020-12-23,100.27,0.76,971,67600,"1,106.60",367.02,0.16945677957868646
244,2020-12-24,100.28,0.76,969,67650,"1,108.90",371.67,0.21463415218940282
245,2020-12-28,100.31,0.78,977,67500,"1,103.70",381.51,0.36140068180025703
246,2020-12-29,100.31,0.8,975,66990,"1,098.20",380.34,0.38607875294140714
247,2020-12-30,100.32,0.81,973,66540,"1,093.20",381.21,0.14180027281722712
248,2021-01-04,100.42,0.81,973,67200,"1,088.00",389.5,0.32386792772196243
249,2021-01-05,100.44,0.79,975,68800,"1,083.10",399.79,0.34345867210373154
250,2021-01-06,100.47,0.76,975,69130,"1,086.10",406.33,0.13801284069060404
251,2021-01-07,100.49,0.75,972,68700,"1,086.80",404.0,0.1198174922698052
252,2021-01-08,100.51,0.74,972,68400,"1,087.70",412.06,0.319132763454493
253,2021-01-11,100.58,0.74,981,66880,"1,094.40",431.69,0.40451482551172463
254,2021-01-12,100.6,0.74,987,67460,"1,097.80",430.8,0.28030078777185713
255,2021-01-13,100.63,0.74,984,67320,"1,099.90",427.98,0.08606643188211087
256,2021-01-14,100.65,0.74,986,66800,"1,095.00",430.43,0.06244824759902155
257,2021-01-15,100.67,0.73,984,66500,"1,100.30",430.37,0.2269344475057888
258,2021-01-18,100.74,0.73,991,66240,"1,097.90",419.7,0.16316273995956979
259,2021-01-19,100.77,0.73,1012,66300,"1,104.40",410.21,0.23606388970897704
260,2021-01-20,100.79,0.73,1017,65810,"1,102.10",425.17,0.15657074898721804
261,2021-01-21,100.81,0.74,1015,66520,"1,100.00",425.29,-0.0024268170322218918
262,2021-01-22,100.83,0.74,1011,66680,"1,099.20",430.73,0.11019464237323846
263,2021-01-25,100.9,0.74,1012,66390,"1,102.30",427.64,0.3415845650929738
264,2021-01-26,100.93,0.75,1009,65990,"1,103.20",436.27,0.39355128726060784
265,2021-01-27,100.95,0.75,1012,66120,"1,103.00",427.11,-0.0038775496986533475
266,2021-01-28,100.97,0.75,1016,65950,"1,104.00",422.92,0.07609743791324954
267,2021-01-29,100.99,0.75,1009,66140,"1,114.60",417.92,0.22517542182301786
268,2021-02-01,101.06,0.75,1021,66640,"1,117.20",404.71,0.19042311556730926
269,2021-02-02,101.08,0.75,1019,67210,"1,118.00",416.77,0.3556866978520493
270,2021-02-03,101.1,0.75,1017,66500,"1,116.60",422.69,0.2828261645809377
271,2021-02-04,101.12,0.75,1009,66280,"1,114.00",425.92,-0.04154566073158902
272,2021-02-05,101.14,0.75,1014,65500,"1,116.70",419.84,0.21357071452079973
273,2021-02-08,101.19,0.75,1023,65990,"1,124.00",422.3,0.10509810438387998
274,2021-02-09,101.21,0.74,1042,65800,"1,119.10",420.71,0.25965319625170125
275,2021-02-10,101.23,0.74,1039,66180,"1,116.00",418.4,0.16302696542367665
